[206/630] Accuracy : 0.03125, loss : 3.703047513961792
[207/630] Accuracy : 0.0625, loss : 3.939527750015259
[208/630] Accuracy : 0.03125, loss : 3.900481700897217
[209/630] Accuracy : 0.03125, loss : 3.8188669681549072
[210/630] Accuracy : 0.046875, loss : 3.6258203983306885
[211/630] Accuracy : 0.0625, loss : 3.7999191284179688
[212/630] Accuracy : 0.078125, loss : 3.4976961612701416
[213/630] Accuracy : 0.015625, loss : 3.83886456489563
[214/630] Accuracy : 0.015625, loss : 3.9140069484710693
[215/630] Accuracy : 0.0625, loss : 3.502441167831421
[216/630] Accuracy : 0.03125, loss : 3.5523083209991455
[217/630] Accuracy : 0.046875, loss : 3.7502455711364746
[218/630] Accuracy : 0.0, loss : 3.719619035720825
[219/630] Accuracy : 0.0625, loss : 3.712399482727051
[220/630] Accuracy : 0.03125, loss : 3.712700605392456
[221/630] Accuracy : 0.0625, loss : 3.6221630573272705
[222/630] Accuracy : 0.078125, loss : 3.396646022796631
[223/630] Accuracy : 0.03125, loss : 3.692566394805908
[224/630] Accuracy : 0.046875, loss : 3.4921107292175293
[225/630] Accuracy : 0.015625, loss : 3.797056198120117
[226/630] Accuracy : 0.03125, loss : 3.5673179626464844
[227/630] Accuracy : 0.0625, loss : 3.4840328693389893
[228/630] Accuracy : 0.03125, loss : 3.9570131301879883
[229/630] Accuracy : 0.015625, loss : 3.799359083175659
[230/630] Accuracy : 0.0625, loss : 3.782179594039917
[231/630] Accuracy : 0.046875, loss : 3.727098226547241
[232/630] Accuracy : 0.015625, loss : 3.6562931537628174
[233/630] Accuracy : 0.0625, loss : 3.656320571899414
[234/630] Accuracy : 0.0625, loss : 3.7571146488189697
[235/630] Accuracy : 0.015625, loss : 3.7608065605163574
[236/630] Accuracy : 0.046875, loss : 3.7336909770965576
[237/630] Accuracy : 0.015625, loss : 3.6268603801727295
[238/630] Accuracy : 0.03125, loss : 3.7040302753448486
[239/630] Accuracy : 0.03125, loss : 3.7142879962921143
[240/630] Accuracy : 0.09375, loss : 3.78647518157959
[241/630] Accuracy : 0.046875, loss : 3.788275718688965
[242/630] Accuracy : 0.046875, loss : 3.928870916366577
[243/630] Accuracy : 0.046875, loss : 3.724822998046875
[244/630] Accuracy : 0.078125, loss : 3.4973812103271484
[245/630] Accuracy : 0.015625, loss : 3.973268508911133
[246/630] Accuracy : 0.125, loss : 3.5149219036102295
[247/630] Accuracy : 0.046875, loss : 3.8796398639678955
[248/630] Accuracy : 0.0625, loss : 3.603149890899658
[249/630] Accuracy : 0.046875, loss : 3.6986985206604004
[250/630] Accuracy : 0.046875, loss : 3.928309917449951
[251/630] Accuracy : 0.0625, loss : 3.7043113708496094
[252/630] Accuracy : 0.03125, loss : 4.07432746887207
[253/630] Accuracy : 0.046875, loss : 3.9060981273651123
[254/630] Accuracy : 0.0, loss : 3.9011178016662598
[255/630] Accuracy : 0.03125, loss : 3.7899582386016846
[256/630] Accuracy : 0.078125, loss : 3.5168545246124268
[257/630] Accuracy : 0.046875, loss : 3.8261663913726807
[258/630] Accuracy : 0.015625, loss : 3.893979549407959
[259/630] Accuracy : 0.046875, loss : 4.087919235229492
[260/630] Accuracy : 0.015625, loss : 3.7733747959136963
[261/630] Accuracy : 0.046875, loss : 3.7511754035949707
[262/630] Accuracy : 0.015625, loss : 3.748884439468384
[263/630] Accuracy : 0.078125, loss : 3.6507930755615234
[264/630] Accuracy : 0.015625, loss : 3.935732841491699
[265/630] Accuracy : 0.046875, loss : 3.726789951324463
[266/630] Accuracy : 0.046875, loss : 3.6666853427886963
[267/630] Accuracy : 0.046875, loss : 3.695422410964966
[268/630] Accuracy : 0.0625, loss : 4.059730529785156
[269/630] Accuracy : 0.046875, loss : 3.7300362586975098
[270/630] Accuracy : 0.0625, loss : 3.8383681774139404
[271/630] Accuracy : 0.0625, loss : 3.8712117671966553
[272/630] Accuracy : 0.0625, loss : 3.700554609298706
[273/630] Accuracy : 0.046875, loss : 4.105501651763916
[274/630] Accuracy : 0.03125, loss : 3.8103346824645996
[275/630] Accuracy : 0.046875, loss : 4.0705790519714355
[276/630] Accuracy : 0.0625, loss : 3.7107436656951904
[277/630] Accuracy : 0.03125, loss : 3.7292470932006836
[278/630] Accuracy : 0.015625, loss : 3.911654472351074
[279/630] Accuracy : 0.0, loss : 4.394975185394287
[280/630] Accuracy : 0.0625, loss : 3.914188861846924
[281/630] Accuracy : 0.03125, loss : 3.867204427719116
[282/630] Accuracy : 0.0625, loss : 4.2329816818237305
[283/630] Accuracy : 0.015625, loss : 3.926980495452881
[284/630] Accuracy : 0.015625, loss : 4.233874797821045
[285/630] Accuracy : 0.046875, loss : 3.9866979122161865
[286/630] Accuracy : 0.015625, loss : 4.2292022705078125
[287/630] Accuracy : 0.078125, loss : 4.058224678039551
[288/630] Accuracy : 0.078125, loss : 3.738621950149536
[289/630] Accuracy : 0.03125, loss : 4.007197380065918
[290/630] Accuracy : 0.0625, loss : 3.6449077129364014
[291/630] Accuracy : 0.03125, loss : 3.72062349319458
[292/630] Accuracy : 0.046875, loss : 3.7135698795318604
[293/630] Accuracy : 0.0, loss : 3.6651651859283447
[294/630] Accuracy : 0.015625, loss : 3.836489677429199
[295/630] Accuracy : 0.0, loss : 3.8789966106414795
[296/630] Accuracy : 0.015625, loss : 3.805912971496582
[297/630] Accuracy : 0.0625, loss : 3.6491806507110596
[298/630] Accuracy : 0.015625, loss : 3.759765625
[299/630] Accuracy : 0.03125, loss : 3.7314233779907227
[300/630] Accuracy : 0.03125, loss : 3.6681742668151855
[301/630] Accuracy : 0.046875, loss : 3.805473804473877
[302/630] Accuracy : 0.0625, loss : 3.716479778289795
[303/630] Accuracy : 0.046875, loss : 3.695735216140747
[304/630] Accuracy : 0.03125, loss : 3.5331647396087646
[305/630] Accuracy : 0.078125, loss : 3.8219833374023438
[306/630] Accuracy : 0.046875, loss : 3.7986040115356445
[307/630] Accuracy : 0.015625, loss : 3.687941551208496
[308/630] Accuracy : 0.046875, loss : 3.55456805229187
[309/630] Accuracy : 0.03125, loss : 3.7946107387542725
[310/630] Accuracy : 0.015625, loss : 3.7090377807617188
[311/630] Accuracy : 0.078125, loss : 3.5806238651275635
[312/630] Accuracy : 0.078125, loss : 3.7183303833007812
[313/630] Accuracy : 0.046875, loss : 3.655444383621216
[314/630] Accuracy : 0.125, loss : 3.7273097038269043
[315/630] Accuracy : 0.046875, loss : 3.740126609802246
[316/630] Accuracy : 0.078125, loss : 3.8340041637420654
[317/630] Accuracy : 0.0625, loss : 3.738994598388672
[318/630] Accuracy : 0.078125, loss : 3.695099353790283
[319/630] Accuracy : 0.015625, loss : 3.7123403549194336
[320/630] Accuracy : 0.03125, loss : 3.7006046772003174
[321/630] Accuracy : 0.046875, loss : 3.723195791244507
[322/630] Accuracy : 0.015625, loss : 3.849792718887329
[323/630] Accuracy : 0.0, loss : 3.9521141052246094
[324/630] Accuracy : 0.046875, loss : 3.884079694747925
[325/630] Accuracy : 0.015625, loss : 3.933788776397705
[326/630] Accuracy : 0.0625, loss : 3.623216390609741
[327/630] Accuracy : 0.046875, loss : 3.565312147140503
[328/630] Accuracy : 0.015625, loss : 3.7655816078186035
[329/630] Accuracy : 0.0625, loss : 3.563737630844116
[330/630] Accuracy : 0.09375, loss : 3.588535785675049
[331/630] Accuracy : 0.109375, loss : 3.7424004077911377
[332/630] Accuracy : 0.03125, loss : 3.5380544662475586
[333/630] Accuracy : 0.140625, loss : 3.5687732696533203
[334/630] Accuracy : 0.015625, loss : 3.772803783416748
[335/630] Accuracy : 0.03125, loss : 3.932076930999756
[336/630] Accuracy : 0.03125, loss : 3.6944878101348877
[337/630] Accuracy : 0.0625, loss : 3.7352449893951416
[338/630] Accuracy : 0.046875, loss : 3.8280422687530518
[339/630] Accuracy : 0.046875, loss : 3.657543182373047
[340/630] Accuracy : 0.046875, loss : 3.6984059810638428
[341/630] Accuracy : 0.0, loss : 3.779264211654663
[342/630] Accuracy : 0.03125, loss : 3.632216691970825
[343/630] Accuracy : 0.03125, loss : 3.8353517055511475
[344/630] Accuracy : 0.0, loss : 3.7081477642059326
[345/630] Accuracy : 0.046875, loss : 3.687108278274536
[346/630] Accuracy : 0.03125, loss : 3.8534739017486572
[347/630] Accuracy : 0.015625, loss : 3.688831090927124
[348/630] Accuracy : 0.046875, loss : 3.83646559715271
[349/630] Accuracy : 0.09375, loss : 3.67183256149292
[350/630] Accuracy : 0.0, loss : 3.8293652534484863
[351/630] Accuracy : 0.015625, loss : 3.7224907875061035
[352/630] Accuracy : 0.015625, loss : 3.7157692909240723
[353/630] Accuracy : 0.0625, loss : 3.6362366676330566
[354/630] Accuracy : 0.09375, loss : 3.649061918258667
[355/630] Accuracy : 0.03125, loss : 3.774407386779785
[356/630] Accuracy : 0.015625, loss : 3.516273021697998
[357/630] Accuracy : 0.03125, loss : 3.632171392440796
[358/630] Accuracy : 0.03125, loss : 3.7496888637542725
[359/630] Accuracy : 0.03125, loss : 3.654207706451416
[360/630] Accuracy : 0.015625, loss : 3.715792417526245
[361/630] Accuracy : 0.0625, loss : 3.61258864402771
[362/630] Accuracy : 0.015625, loss : 3.7859535217285156
[363/630] Accuracy : 0.015625, loss : 3.7446906566619873
[364/630] Accuracy : 0.0625, loss : 3.9296319484710693
[365/630] Accuracy : 0.0625, loss : 3.657925844192505
[366/630] Accuracy : 0.046875, loss : 3.5941340923309326
[367/630] Accuracy : 0.046875, loss : 3.7352943420410156
[368/630] Accuracy : 0.109375, loss : 3.7496402263641357
[369/630] Accuracy : 0.046875, loss : 3.5596282482147217
[370/630] Accuracy : 0.0625, loss : 3.663945198059082
[371/630] Accuracy : 0.078125, loss : 3.6677298545837402
[372/630] Accuracy : 0.0625, loss : 3.7500712871551514
[373/630] Accuracy : 0.046875, loss : 3.5438220500946045
[374/630] Accuracy : 0.046875, loss : 3.8145952224731445
[375/630] Accuracy : 0.03125, loss : 3.699960708618164
[376/630] Accuracy : 0.09375, loss : 3.624377965927124
[377/630] Accuracy : 0.078125, loss : 3.541861057281494
[378/630] Accuracy : 0.0625, loss : 3.7654683589935303
[379/630] Accuracy : 0.0625, loss : 3.611262798309326
[380/630] Accuracy : 0.09375, loss : 3.783937454223633
[381/630] Accuracy : 0.03125, loss : 3.6203060150146484
[382/630] Accuracy : 0.0625, loss : 3.731889486312866
[383/630] Accuracy : 0.078125, loss : 3.6666271686553955
[384/630] Accuracy : 0.109375, loss : 3.5427353382110596
[385/630] Accuracy : 0.0625, loss : 3.8195929527282715
[386/630] Accuracy : 0.078125, loss : 3.5773191452026367
[387/630] Accuracy : 0.078125, loss : 3.541365146636963
[388/630] Accuracy : 0.078125, loss : 3.789302349090576
[389/630] Accuracy : 0.015625, loss : 3.830960512161255
[390/630] Accuracy : 0.046875, loss : 3.823030948638916
